creator,url,distributors,uploads,median_outlier,max_outlier
growinginfrance,https://www.youtube.com/@growinginfrance,5,7,1.32,13.29
araujocaiaque,https://www.youtube.com/@araujocaiaque,5,7,2.45,13.21
desentoca2309,https://www.youtube.com/@desentoca2309,5,5,1.5,9.16
mwigmedia,https://www.youtube.com/@mwigmedia,5,7,0.72,8.11
BergstromGarage,https://www.youtube.com/@BergstromGarage,5,8,0.85,6.95
adrianwoodworm,https://www.youtube.com/@adrianwoodworm,5,5,1.75,6.78
Weandnature,https://www.youtube.com/@Weandnature,5,9,1.98,5.92
BendheimBoards,https://www.youtube.com/@BendheimBoards,5,5,1.14,4.0
DoBeDiff,https://www.youtube.com/@DoBeDiff,5,5,2.11,3.75
TheOffGridExperience,https://www.youtube.com/@TheOffGridExperience,5,6,0.26,3.25
KORcountrysidelife,https://www.youtube.com/@KORcountrysidelife,5,7,1.0,2.52
Tornado_Dave,https://www.youtube.com/@Tornado_Dave,5,6,0.97,1.57
haisupercar,https://www.youtube.com/@haisupercar,5,5,1.14,1.31
diy8288,https://www.youtube.com/@diy8288,5,6,0.54,0.73
channel520,https://www.youtube.com/@channel520,4,4,7.35,1797.67
andersboisentinyhouse,https://www.youtube.com/@andersboisentinyhouse,4,4,0.74,63.84
MrBuildit,https://www.youtube.com/@MrBuildit,4,5,1.74,24.88
domegaia,https://www.youtube.com/@domegaia,4,4,7.78,22.27
homemade_madness,https://www.youtube.com/@homemade_madness,4,5,5.2,16.94
perfectidea,https://www.youtube.com/@perfectidea,4,4,0.5,13.67
mikesdreambuilds,https://www.youtube.com/@mikesdreambuilds,4,5,2.39,9.49
MeadowlarkLogHomes,https://www.youtube.com/@MeadowlarkLogHomes,4,6,1.21,8.19
ThanhĐiềnNTĐ,https://www.youtube.com/@ThanhĐiềnNTĐ,4,7,3.38,6.92
Mrhuubushcraft,https://www.youtube.com/@Mrhuubushcraft,4,4,3.78,5.35
dialtommy,https://www.youtube.com/@dialtommy,4,7,0.52,4.69
LibraryofConstruction,https://www.youtube.com/@LibraryofConstruction,4,4,1.74,4.56
NDWoodArt,https://www.youtube.com/@NDWoodArt,4,4,0.93,4.01
cabinlife4551,https://www.youtube.com/@cabinlife4551,4,5,1.83,3.49
RestorationsSkills6886,https://www.youtube.com/@RestorationsSkills6886,4,4,1.47,2.86
lesnoy_badger1544,https://www.youtube.com/@lesnoy_badger1544,4,5,0.82,2.4
lesnoy_offline3431,https://www.youtube.com/@lesnoy_offline3431,4,5,0.28,2.08
Paullivesdifferent,https://www.youtube.com/@Paullivesdifferent,4,5,1.79,1.79
KYLESCABIN,https://www.youtube.com/@KYLESCABIN,4,5,1.01,1.65
thinkwilderness,https://www.youtube.com/@thinkwilderness,4,4,0.67,1.4
RuslaninTheWoods,https://www.youtube.com/@RuslaninTheWoods,4,5,0.08,1.25
Outdoor_builder,https://www.youtube.com/@Outdoor_builder,4,4,0.71,1.0
klerobi1,https://www.youtube.com/@klerobi1,4,5,0.71,0.85
papatechnologies,https://www.youtube.com/@papatechnologies,3,3,5.73,259.1
freefootsteps877,https://www.youtube.com/@freefootsteps877,3,3,30.23,70.43
cleanupfree2t970,https://www.youtube.com/@cleanupfree2t970,3,3,2.02,66.47
botanik6140,https://www.youtube.com/@botanik6140,3,3,1.61,48.03
ChopShopCrew,https://www.youtube.com/@ChopShopCrew,3,4,0.32,41.72
norsetoalaska,https://www.youtube.com/@norsetoalaska,3,4,9.02,41.72
nikospropertyshow,https://www.youtube.com/@nikospropertyshow,3,3,13.84,39.99
primitivevilla1930,https://www.youtube.com/@primitivevilla1930,3,5,1.95,33.6
crazybushcraft,https://www.youtube.com/@crazybushcraft,3,3,0.19,23.46
NickandMaela,https://www.youtube.com/@NickandMaela,3,3,16.47,19.92
DesignsbyDonnie,https://www.youtube.com/@DesignsbyDonnie,3,3,1.98,12.5
Outthegateoffroadnz,https://www.youtube.com/@Outthegateoffroadnz,3,4,0.66,11.83
ateliermavi,https://www.youtube.com/@ateliermavi,3,4,6.29,11.4
restorationt2,https://www.youtube.com/@restorationt2,3,3,0.4,9.75
JJfishing19marine,https://www.youtube.com/@JJfishing19marine,3,4,5.74,9.2
PrimitiveTechnologyIdea,https://www.youtube.com/@PrimitiveTechnologyIdea,3,5,0.6,8.51
septemberflow,https://www.youtube.com/@septemberflow,3,6,3.06,6.25
Advoko,https://www.youtube.com/@Advoko,3,3,1.08,6.01
BushcraftLeo,https://www.youtube.com/@BushcraftLeo,3,4,2.9,5.71
HalfassKustoms,https://www.youtube.com/@HalfassKustoms,3,5,0.65,4.44
QuickCuts,https://www.youtube.com/@QuickCuts,3,3,0.88,3.51
outdoorlifeandcraft,https://www.youtube.com/@outdoorlifeandcraft,3,4,1.56,3.36
aboulderlifeoffgrid,https://www.youtube.com/@aboulderlifeoffgrid,3,4,2.48,3.33
EricLeCarreleur,https://www.youtube.com/@EricLeCarreleur,3,3,0.81,3.12
OneFootOfftheGrid,https://www.youtube.com/@OneFootOfftheGrid,3,4,1.03,3.08
kevcatbuildit9478,https://www.youtube.com/@kevcatbuildit9478,3,3,1.43,2.33
thecarmechanicxiaowu,https://www.youtube.com/@thecarmechanicxiaowu,3,3,0.93,1.82
LiveWithCreativity,https://www.youtube.com/@LiveWithCreativity,3,4,1.14,1.64
DennisKoburger,https://www.youtube.com/@DennisKoburger,3,3,1.1,1.62
forestpaths,https://www.youtube.com/@forestpaths,3,3,1.0,1.54
Motorizando,https://www.youtube.com/@Motorizando,3,4,0.32,1.44
WesternPioneer,https://www.youtube.com/@WesternPioneer,3,4,0.16,1.39
Dodoan123,https://www.youtube.com/@Dodoan123,3,3,0.62,1.38
anvswild,https://www.youtube.com/@anvswild,3,3,0.43,1.27
European_Homesteading,https://www.youtube.com/@European_Homesteading,3,5,0.8,1.2
alex-wild,https://www.youtube.com/@alex-wild,3,4,1.03,1.05
Wood_Wolf,https://www.youtube.com/@Wood_Wolf,3,4,0.55,1.0
Cleantheoldhouse,https://www.youtube.com/@Cleantheoldhouse,3,3,0.67,0.77
Elijah-House,https://www.youtube.com/@Elijah-House,3,4,0.46,0.71
BushcraftHakankarahan,https://www.youtube.com/@BushcraftHakankarahan,3,3,0.5,0.5
BibiaBus,https://www.youtube.com/@BibiaBus,3,4,0.42,0.47
