creator,url,distributors,uploads,median_outlier,max_outlier
Perfectgroup2013,https://www.youtube.com/@Perfectgroup2013,1,2,2.17,2.32
CleanupMowing,https://www.youtube.com/@CleanupMowing,1,1,2.28,2.28
Bushcraft.en.Solitario,https://www.youtube.com/@Bushcraft.en.Solitario,1,1,2.27,2.27
Borsch_TV,https://www.youtube.com/@Borsch_TV,1,1,2.26,2.26
WildlifeHomesteadCabin,https://www.youtube.com/@WildlifeHomesteadCabin,1,1,2.22,2.22
ShredPile,https://www.youtube.com/@ShredPile,1,1,2.14,2.14
BudgiCamper,https://www.youtube.com/@BudgiCamper,1,1,2.11,2.11
SurvivalBuild,https://www.youtube.com/@SurvivalBuild,1,1,2.11,2.11
WildSoloSurvival,https://www.youtube.com/@WildSoloSurvival,1,1,2.06,2.06
paktech9707,https://www.youtube.com/@paktech9707,1,1,2.04,2.04
secondgrowthhomes,https://www.youtube.com/@secondgrowthhomes,1,1,2.03,2.03
restorediy,https://www.youtube.com/@restorediy,1,1,2.0,2.0
Bushgard-x,https://www.youtube.com/@Bushgard-x,1,1,1.99,1.99
JamesBiggar,https://www.youtube.com/@JamesBiggar,1,1,1.96,1.96
PhươngOutdoor,https://www.youtube.com/@PhươngOutdoor,1,1,1.95,1.95
tatsujinstyle,https://www.youtube.com/@tatsujinstyle,1,1,1.88,1.88
TAOutdoors,https://www.youtube.com/@TAOutdoors,1,1,1.83,1.83
SmoothGefixt,https://www.youtube.com/@SmoothGefixt,1,1,1.8,1.8
ARKSurvivaleveloved-cc2tw,https://www.youtube.com/@ARKSurvivaleveloved-cc2tw,1,1,1.77,1.77
TheLastSurvivor-7,https://www.youtube.com/@TheLastSurvivor-7,1,1,1.75,1.75
RAWConstructionASMR,https://www.youtube.com/@RAWConstructionASMR,1,1,1.73,1.73
woodwood1,https://www.youtube.com/@woodwood1,1,1,1.72,1.72
Hoa-Mechanical,https://www.youtube.com/@Hoa-Mechanical,1,1,1.71,1.71
yangsurvival,https://www.youtube.com/@yangsurvival,1,1,1.67,1.67
AmbitionStrikes1.On.T.elegram,https://www.youtube.com/@AmbitionStrikes1.On.T.elegram,1,1,1.67,1.67
HOMEMADE,https://www.youtube.com/@HOMEMADE,1,1,1.63,1.63
wetscapes,https://www.youtube.com/@wetscapes,1,1,1.62,1.62
thompsonscabin,https://www.youtube.com/@thompsonscabin,1,2,1.6,1.6
bkscreative,https://www.youtube.com/@bkscreative,1,1,1.56,1.56
realmikethakur,https://www.youtube.com/@realmikethakur,1,1,1.54,1.54
Lesnon,https://www.youtube.com/@Lesnon,1,1,1.53,1.53
WargehBushcraft,https://www.youtube.com/@WargehBushcraft,1,1,1.53,1.53
Xiaoqianfeng,https://www.youtube.com/@Xiaoqianfeng,1,1,1.51,1.51
GordeevaHike,https://www.youtube.com/@GordeevaHike,1,1,1.5,1.5
MichaelRestoration,https://www.youtube.com/@MichaelRestoration,1,1,1.5,1.5
SmartEasyDIYer,https://www.youtube.com/@SmartEasyDIYer,1,1,1.5,1.5
PerkinsBuilderBrothers,https://www.youtube.com/@PerkinsBuilderBrothers,1,1,1.44,1.44
SalvagetoScenic,https://www.youtube.com/@SalvagetoScenic,1,1,1.41,1.41
pakistanitruck,https://www.youtube.com/@pakistanitruck,1,2,1.39,1.39
hennybutabi,https://www.youtube.com/@hennybutabi,1,1,1.39,1.39
rlcmaker,https://www.youtube.com/@rlcmaker,1,1,1.39,1.39
MichaelValentino,https://www.youtube.com/@MichaelValentino,1,2,1.38,1.38
alaskacabinadventures,https://www.youtube.com/@alaskacabinadventures,1,1,1.33,1.33
ThanhBoat,https://www.youtube.com/@ThanhBoat,1,2,1.02,1.31
life.uncontained,https://www.youtube.com/@life.uncontained,1,1,1.28,1.28
CarRestorations-USA,https://www.youtube.com/@CarRestorations-USA,1,1,1.24,1.24
CHUANQIENGINE,https://www.youtube.com/@CHUANQIENGINE,1,1,1.24,1.24
trwilderness-bahadirkilic,https://www.youtube.com/@trwilderness-bahadirkilic,1,1,1.23,1.23
TheCrockers,https://www.youtube.com/@TheCrockers,1,1,1.22,1.22
Bourbonmoth,https://www.youtube.com/@Bourbonmoth,1,2,1.21,1.21
WildNovels,https://www.youtube.com/@WildNovels,1,1,1.19,1.19
bonbonscalemodel,https://www.youtube.com/@bonbonscalemodel,1,1,1.17,1.17
JoelTremblayCA,https://www.youtube.com/@JoelTremblayCA,1,1,1.17,1.17
JapaneseGardenTV,https://www.youtube.com/@JapaneseGardenTV,1,1,1.15,1.15
YachtCityLife,https://www.youtube.com/@YachtCityLife,1,1,1.15,1.15
sethcraftshop,https://www.youtube.com/@sethcraftshop,1,1,1.15,1.15
muhammadali77,https://www.youtube.com/@muhammadali77,1,1,1.15,1.15
tieulinhrepair,https://www.youtube.com/@tieulinhrepair,1,1,1.15,1.15
ARIA,https://www.youtube.com/@ARIA,1,1,1.14,1.14
ChadsCustomCreations,https://www.youtube.com/@ChadsCustomCreations,1,1,1.11,1.11
OficinadoParma,https://www.youtube.com/@OficinadoParma,1,1,1.11,1.11
theturkishviking-bushcraft,https://www.youtube.com/@theturkishviking-bushcraft,1,1,1.1,1.1
Tran-Chien,https://www.youtube.com/@Tran-Chien,1,1,1.06,1.06
theminiarchitect,https://www.youtube.com/@theminiarchitect,1,1,1.06,1.06
mmbridgeco.ltd.3002,https://www.youtube.com/@mmbridgeco.ltd.3002,1,1,1.06,1.06
AlexBushcraftmyWorld,https://www.youtube.com/@AlexBushcraftmyWorld,1,1,1.05,1.05
hoangthichien1991ideahouse,https://www.youtube.com/@hoangthichien1991ideahouse,1,1,1.05,1.05
Renovacile,https://www.youtube.com/@Renovacile,1,2,1.04,1.04
AlekseyKarpushkin,https://www.youtube.com/@AlekseyKarpushkin,1,1,1.03,1.03
WoodworkingInspiration4196,https://www.youtube.com/@WoodworkingInspiration4196,1,1,1.0,1.0
Çelik_Ev_İskender_Usta,https://www.youtube.com/@Çelik_Ev_İskender_Usta,1,1,1.0,1.0
LRN2DIY,https://www.youtube.com/@LRN2DIY,1,1,1.0,1.0
Bendheim,https://www.youtube.com/@Bendheim,1,1,1.0,1.0
OMGscaleworks,https://www.youtube.com/@OMGscaleworks,1,1,1.0,1.0
amazingthingtechnology1595,https://www.youtube.com/@amazingthingtechnology1595,1,1,1.0,1.0
AwesomeWoodcraft,https://www.youtube.com/@AwesomeWoodcraft,1,1,1.0,1.0
Le_Dan,https://www.youtube.com/@Le_Dan,1,1,1.0,1.0
alexbushcraftmy,https://www.youtube.com/@alexbushcraftmy,1,1,1.0,1.0
BradenBuildz,https://www.youtube.com/@BradenBuildz,1,1,1.0,1.0
NLOG_Leather,https://www.youtube.com/@NLOG_Leather,1,1,1.0,1.0
jmuller86,https://www.youtube.com/@jmuller86,1,1,1.0,1.0
Life-in-Wild1,https://www.youtube.com/@Life-in-Wild1,1,1,1.0,1.0
Ferincishin,https://www.youtube.com/@Ferincishin,1,1,1.0,1.0
AsbjornOlsenBerg,https://www.youtube.com/@AsbjornOlsenBerg,1,1,1.0,1.0
PetaVillage,https://www.youtube.com/@PetaVillage,1,1,1.0,1.0
apaodailylife,https://www.youtube.com/@apaodailylife,1,1,1.0,1.0
ConstructiiInDetaliu,https://www.youtube.com/@ConstructiiInDetaliu,1,1,1.0,1.0
TanSoLoSurvival,https://www.youtube.com/@TanSoLoSurvival,1,1,1.0,1.0
AYACAMPING,https://www.youtube.com/@AYACAMPING,1,1,1.0,1.0
WildBeauty-OffGrid,https://www.youtube.com/@WildBeauty-OffGrid,1,1,1.0,1.0
OffgridwithJayandJen,https://www.youtube.com/@OffgridwithJayandJen,1,2,0.99,0.99
MoonCamping2005,https://www.youtube.com/@MoonCamping2005,1,1,0.96,0.96
DeRusterGarage,https://www.youtube.com/@DeRusterGarage,1,1,0.95,0.95
nnkhmisc,https://www.youtube.com/@nnkhmisc,1,1,0.95,0.95
Rusty,https://www.youtube.com/@Rusty,1,1,0.92,0.92
YASUHIROTV,https://www.youtube.com/@YASUHIROTV,1,1,0.91,0.91
QuantamTech,https://www.youtube.com/@QuantamTech,1,3,0.78,0.89
gesithasgewissa,https://www.youtube.com/@gesithasgewissa,1,1,0.88,0.88
Girl,https://www.youtube.com/@Girl,1,1,0.87,0.87
PLAHOUSE-CONTAINER,https://www.youtube.com/@PLAHOUSE-CONTAINER,1,2,0.86,0.86
landonsees7739,https://www.youtube.com/@landonsees7739,1,1,0.86,0.86
Tinspaces,https://www.youtube.com/@Tinspaces,1,1,0.85,0.85
ArtSport,https://www.youtube.com/@ArtSport,1,1,0.85,0.85
RedRustRestoration,https://www.youtube.com/@RedRustRestoration,1,1,0.83,0.83
annasgmlindgren,https://www.youtube.com/@annasgmlindgren,1,2,0.82,0.82
MrZhangsDetailing,https://www.youtube.com/@MrZhangsDetailing,1,1,0.82,0.82
CantContainUs,https://www.youtube.com/@CantContainUs,1,1,0.81,0.81
AutoFinesseDetailing,https://www.youtube.com/@AutoFinesseDetailing,1,1,0.8,0.8
restorationUphone,https://www.youtube.com/@restorationUphone,1,1,0.8,0.8
TieuVyBuilding,https://www.youtube.com/@TieuVyBuilding,1,1,0.79,0.79
Mechanicalskils,https://www.youtube.com/@Mechanicalskils,1,1,0.78,0.78
emilyaisling,https://www.youtube.com/@emilyaisling,1,1,0.78,0.78
FarisandLisa,https://www.youtube.com/@FarisandLisa,1,1,0.78,0.78
Gabe_Octane,https://www.youtube.com/@Gabe_Octane,1,2,0.77,0.77
wtcreative,https://www.youtube.com/@wtcreative,1,1,0.77,0.77
osbushcraft,https://www.youtube.com/@osbushcraft,1,1,0.77,0.77
LýPhúcNhi,https://www.youtube.com/@LýPhúcNhi,1,1,0.76,0.76
KrisHarbour,https://www.youtube.com/@KrisHarbour,1,2,0.74,0.74
amazingskillas,https://www.youtube.com/@amazingskillas,1,1,0.74,0.74
Grovehide_Builds,https://www.youtube.com/@Grovehide_Builds,1,1,0.74,0.74
HKoutdoors76,https://www.youtube.com/@HKoutdoors76,1,1,0.73,0.73
riverrockcabin5941,https://www.youtube.com/@riverrockcabin5941,1,2,0.72,0.72
Fitiman,https://www.youtube.com/@Fitiman,1,1,0.72,0.72
SavingSweetWilliam,https://www.youtube.com/@SavingSweetWilliam,1,1,0.72,0.72
ShopNation,https://www.youtube.com/@ShopNation,1,1,0.71,0.71
AxesGarage,https://www.youtube.com/@AxesGarage,1,1,0.7,0.7
kbmorozov,https://www.youtube.com/@kbmorozov,1,2,0.51,0.69
Lautodidacte2.0,https://www.youtube.com/@Lautodidacte2.0,1,2,0.68,0.68
Ruslan,https://www.youtube.com/@Ruslan,1,1,0.67,0.67
MADDETAILING,https://www.youtube.com/@MADDETAILING,1,1,0.67,0.67
TheMaineWoods,https://www.youtube.com/@TheMaineWoods,1,1,0.67,0.67
Ishkinin_Outdoors,https://www.youtube.com/@Ishkinin_Outdoors,1,1,0.65,0.65
ATHOSOutdoorProspector,https://www.youtube.com/@ATHOSOutdoorProspector,1,1,0.65,0.65
TraplinesandInlines,https://www.youtube.com/@TraplinesandInlines,1,1,0.64,0.64
my-good-friends,https://www.youtube.com/@my-good-friends,1,1,0.63,0.63
BUSHCRAFT72H,https://www.youtube.com/@BUSHCRAFT72H,1,1,0.62,0.62
TheRestorer,https://www.youtube.com/@TheRestorer,1,1,0.62,0.62
WorkshopFromScratch,https://www.youtube.com/@WorkshopFromScratch,1,2,0.32,0.62
Bushradical,https://www.youtube.com/@Bushradical,1,1,0.62,0.62
volodhendrix,https://www.youtube.com/@volodhendrix,1,1,0.61,0.61
MakeitExtreme,https://www.youtube.com/@MakeitExtreme,1,1,0.6,0.6
modustrial,https://www.youtube.com/@modustrial,1,1,0.58,0.58
WildGnomosTV,https://www.youtube.com/@WildGnomosTV,1,1,0.57,0.57
Nasatchanne,https://www.youtube.com/@Nasatchanne,1,1,0.57,0.57
WildxJournal,https://www.youtube.com/@WildxJournal,1,1,0.57,0.57
WildAngelBushcraft,https://www.youtube.com/@WildAngelBushcraft,1,1,0.56,0.56
WisdomPreserved,https://www.youtube.com/@WisdomPreserved,1,1,0.56,0.56
lifeinruralthailand,https://www.youtube.com/@lifeinruralthailand,1,1,0.55,0.55
AmbitionStrikes,https://www.youtube.com/@AmbitionStrikes,1,1,0.55,0.55
CraftCreative-444,https://www.youtube.com/@CraftCreative-444,1,1,0.54,0.54
DiscoverManufacturing,https://www.youtube.com/@DiscoverManufacturing,1,2,0.53,0.53
Clean,https://www.youtube.com/@Clean,1,1,0.53,0.53
IslamShirinov-fh9eh,https://www.youtube.com/@IslamShirinov-fh9eh,1,1,0.53,0.53
woodysbarndominium,https://www.youtube.com/@woodysbarndominium,1,2,0.51,0.51
AntonioOff-Grid,https://www.youtube.com/@AntonioOff-Grid,1,1,0.5,0.5
LyTieuToan,https://www.youtube.com/@LyTieuToan,1,1,0.5,0.5
FarmGirlDaily,https://www.youtube.com/@FarmGirlDaily,1,1,0.5,0.5
2apples,https://www.youtube.com/@2apples,1,1,0.49,0.49
TheEnesYilmazerPodcast,https://www.youtube.com/@TheEnesYilmazerPodcast,1,1,0.48,0.48
ben-kilner,https://www.youtube.com/@ben-kilner,1,1,0.48,0.48
boxworks1001,https://www.youtube.com/@boxworks1001,1,1,0.47,0.47
BuiltintheUSA,https://www.youtube.com/@BuiltintheUSA,1,1,0.47,0.47
WOODRESINStudio1,https://www.youtube.com/@WOODRESINStudio1,1,1,0.47,0.47
AleksandrKvasha,https://www.youtube.com/@AleksandrKvasha,1,1,0.46,0.46
cabininthenorth,https://www.youtube.com/@cabininthenorth,1,1,0.45,0.45
CleanUpFreeTeam,https://www.youtube.com/@CleanUpFreeTeam,1,1,0.44,0.44
tetuchannel,https://www.youtube.com/@tetuchannel,1,1,0.43,0.43
Diego_Leon,https://www.youtube.com/@Diego_Leon,1,2,0.42,0.42
odo_diy,https://www.youtube.com/@odo_diy,1,1,0.41,0.41
electricsupercar,https://www.youtube.com/@electricsupercar,1,2,0.4,0.4
Polissya,https://www.youtube.com/@Polissya,1,1,0.4,0.4
Triệu_Phong_tv,https://www.youtube.com/@Triệu_Phong_tv,1,1,0.4,0.4
BMSculptures,https://www.youtube.com/@BMSculptures,1,1,0.39,0.39
UnderwoodHomes,https://www.youtube.com/@UnderwoodHomes,1,1,0.38,0.38
randomskills5773,https://www.youtube.com/@randomskills5773,1,1,0.37,0.37
NATRA2021,https://www.youtube.com/@NATRA2021,1,1,0.37,0.37
GrumpyToadCreation,https://www.youtube.com/@GrumpyToadCreation,1,1,0.36,0.36
tyap-lyap,https://www.youtube.com/@tyap-lyap,1,2,0.35,0.35
ourtraveljournalnl,https://www.youtube.com/@ourtraveljournalnl,1,1,0.35,0.35
BordeauxLife,https://www.youtube.com/@BordeauxLife,1,1,0.35,0.35
sharingsurvival,https://www.youtube.com/@sharingsurvival,1,2,0.34,0.34
DağKöyündeHayat,https://www.youtube.com/@DağKöyündeHayat,1,2,0.34,0.34
TravelingbyTacoma,https://www.youtube.com/@TravelingbyTacoma,1,1,0.34,0.34
LizziCamp97,https://www.youtube.com/@LizziCamp97,1,1,0.34,0.34
mr.deswal6903,https://www.youtube.com/@mr.deswal6903,1,2,0.33,0.33
buildingroots5873,https://www.youtube.com/@buildingroots5873,1,2,0.33,0.33
MattJordanWoodturning,https://www.youtube.com/@MattJordanWoodturning,1,1,0.33,0.33
TimKatie,https://www.youtube.com/@TimKatie,1,1,0.33,0.33
Ytcrop,https://www.youtube.com/@Ytcrop,1,1,0.33,0.33
MRWoodworking68,https://www.youtube.com/@MRWoodworking68,1,1,0.33,0.33
Worksandmechanic,https://www.youtube.com/@Worksandmechanic,1,1,0.33,0.33
woody_allan,https://www.youtube.com/@woody_allan,1,1,0.32,0.32
homemadecreativee,https://www.youtube.com/@homemadecreativee,1,2,0.31,0.31
KeeflaDiy,https://www.youtube.com/@KeeflaDiy,1,2,0.27,0.27
lambinhTuoitre,https://www.youtube.com/@lambinhTuoitre,1,1,0.27,0.27
marcetsandy,https://www.youtube.com/@marcetsandy,1,1,0.27,0.27
LakeLotBuild,https://www.youtube.com/@LakeLotBuild,1,2,0.26,0.26
BushcraftAdventure,https://www.youtube.com/@BushcraftAdventure,1,2,0.26,0.26
OkahachiRenovation,https://www.youtube.com/@OkahachiRenovation,1,1,0.25,0.25
HomesteadingUncontained,https://www.youtube.com/@HomesteadingUncontained,1,1,0.25,0.25
ZoomInProcess,https://www.youtube.com/@ZoomInProcess,1,1,0.24,0.24
MARCANDSANDY,https://www.youtube.com/@MARCANDSANDY,1,1,0.24,0.24
mayilaicreatives,https://www.youtube.com/@mayilaicreatives,1,1,0.24,0.24
GreasyFingers,https://www.youtube.com/@GreasyFingers,1,1,0.23,0.23
Hadioutdooradventures,https://www.youtube.com/@Hadioutdooradventures,1,1,0.23,0.23
CampfireStories-d3t,https://www.youtube.com/@CampfireStories-d3t,1,1,0.23,0.23
Bochi,https://www.youtube.com/@Bochi,1,2,0.21,0.21
ibuilding7,https://www.youtube.com/@ibuilding7,1,1,0.2,0.2
wheelxlab,https://www.youtube.com/@wheelxlab,1,2,0.19,0.19
FreeRoamFitouts,https://www.youtube.com/@FreeRoamFitouts,1,1,0.18,0.18
Camtrairuwnggia,https://www.youtube.com/@Camtrairuwnggia,1,1,0.18,0.18
MadeinPolandChannel,https://www.youtube.com/@MadeinPolandChannel,1,1,0.18,0.18
kryptojdm,https://www.youtube.com/@kryptojdm,1,1,0.17,0.17
ForestHermit,https://www.youtube.com/@ForestHermit,1,1,0.17,0.17
sawyerslawncareservice,https://www.youtube.com/@sawyerslawncareservice,1,1,0.16,0.16
JPMansionTours,https://www.youtube.com/@JPMansionTours,1,1,0.16,0.16
QTechGlobal,https://www.youtube.com/@QTechGlobal,1,1,0.16,0.16
Gablok-maison-kit,https://www.youtube.com/@Gablok-maison-kit,1,1,0.16,0.16
skbushcraft,https://www.youtube.com/@skbushcraft,1,1,0.16,0.16
PacificPinesRanch,https://www.youtube.com/@PacificPinesRanch,1,1,0.16,0.16
One.woman.wilderness,https://www.youtube.com/@One.woman.wilderness,1,1,0.15,0.15
adventuresakahayang,https://www.youtube.com/@adventuresakahayang,1,1,0.15,0.15
KENAN,https://www.youtube.com/@KENAN,1,1,0.15,0.15
HomeSweetHomeAlaska,https://www.youtube.com/@HomeSweetHomeAlaska,1,2,0.14,0.14
BreakFreeHomestead,https://www.youtube.com/@BreakFreeHomestead,1,1,0.14,0.14
UltimateTechHub,https://www.youtube.com/@UltimateTechHub,1,1,0.14,0.14
mycustomgokart,https://www.youtube.com/@mycustomgokart,1,2,0.13,0.13
outdoorboy0,https://www.youtube.com/@outdoorboy0,1,1,0.13,0.13
ThePasturedHomestead,https://www.youtube.com/@ThePasturedHomestead,1,1,0.13,0.13
whyknotbuildit,https://www.youtube.com/@whyknotbuildit,1,1,0.12,0.12
TheLodgeGuys,https://www.youtube.com/@TheLodgeGuys,1,2,0.11,0.11
koscheyproject,https://www.youtube.com/@koscheyproject,1,1,0.11,0.11
monobatiz,https://www.youtube.com/@monobatiz,1,1,0.11,0.11
SurvivingAlone-i2j,https://www.youtube.com/@SurvivingAlone-i2j,1,1,0.11,0.11
CraigNakamotoConstruction,https://www.youtube.com/@CraigNakamotoConstruction,1,1,0.11,0.11
Lakimhue998,https://www.youtube.com/@Lakimhue998,1,2,0.1,0.1
lathimui,https://www.youtube.com/@lathimui,1,1,0.1,0.1
HansChan26,https://www.youtube.com/@HansChan26,1,1,0.09,0.09
thecoyotelab,https://www.youtube.com/@thecoyotelab,1,1,0.07,0.07
MrHoaBushcraft,https://www.youtube.com/@MrHoaBushcraft,1,2,0.06,0.06
DağKöyü,https://www.youtube.com/@DağKöyü,1,1,0.06,0.06
JanCampLife,https://www.youtube.com/@JanCampLife,1,1,0.06,0.06
FLManGarage,https://www.youtube.com/@FLManGarage,1,1,0.05,0.05
CyprienAdventures,https://www.youtube.com/@CyprienAdventures,1,1,0.05,0.05
InfinityGarage-ig8py,https://www.youtube.com/@InfinityGarage-ig8py,1,1,0.05,0.05
bushcraftandnature,https://www.youtube.com/@bushcraftandnature,1,1,0.05,0.05
TravelersTale,https://www.youtube.com/@TravelersTale,1,1,0.05,0.05
BudaBushcraft,https://www.youtube.com/@BudaBushcraft,1,1,0.05,0.05
European_hometeading,https://www.youtube.com/@European_hometeading,1,1,0.03,0.03
patricktlee,https://www.youtube.com/@patricktlee,1,1,0.03,0.03
DennisKoburge,https://www.youtube.com/@DennisKoburge,1,1,0.03,0.03
RJLgardens,https://www.youtube.com/@RJLgardens,1,1,0.03,0.03
bodhibus,https://www.youtube.com/@bodhibus,1,2,0.02,0.02
MiniHouseDIY,https://www.youtube.com/@MiniHouseDIY,1,2,0.02,0.02
seyyarhane,https://www.youtube.com/@seyyarhane,1,2,0.01,0.01
jeffreywaldman,https://www.youtube.com/@jeffreywaldman,1,2,0.01,0.01
diekleinewerkstatt727,https://www.youtube.com/@diekleinewerkstatt727,1,2,0.01,0.01
ytmmytmm,https://www.youtube.com/@ytmmytmm,1,2,0.01,0.01
ThisOldJalopy,https://www.youtube.com/@ThisOldJalopy,1,1,0.01,0.01
StudPack,https://www.youtube.com/@StudPack,1,1,0,0
Primitivesurvivalcraft,https://www.youtube.com/@Primitivesurvivalcraft,1,1,0,0
MOUNTAINLIFESTYLE,https://www.youtube.com/@MOUNTAINLIFESTYLE,1,1,0,0
AHeartLikeDavids,https://www.youtube.com/@AHeartLikeDavids,1,1,0,0
thanhtrieutv6231,https://www.youtube.com/@thanhtrieutv6231,1,1,0,0
