creator,url,status,p_next,why,creator_subs,creator_views_per_video,qm_videos,qm_best_outlier,qm_best_views,qm_best_title,distributors,dist_best_outlier,dist_best_reach,dist_best_channel,confirmations
AK-DIY,https://www.youtube.com/@AK-DIY,probado_ok,0.58,ya os funcionó — su catálogo es mina,383000,162439,1,2.71,8144046,Man Builds Hidden Underground BUNKER in his Backyard | DIY Basement by @AK-DIY,0,,,,0
OnlyCampers,https://www.youtube.com/@OnlyCampers,probado_ok,0.58,ya os funcionó — su catálogo es mina,15700,24353,1,2.71,8123087,Young Woman Builds Amazing DIY CAMPER | Start to Finish by @OnlyCampers,0,,,,0
kingprocess,https://www.youtube.com/@kingprocess,probado_ok,0.58,ya os funcionó — su catálogo es mina,875000,1176572,2,2.69,8086850,"How a 5-Ton Temple Bell Is Forged to Ring for 1,000 Years | by @kingprocess",0,,,,0
MichaelRestoration,https://www.youtube.com/@MichaelRestoration,probado_ok,0.58,ya os funcionó — su catálogo es mina,212000,722662,4,2.69,8066539,KTM Motorcycle Full Restoration Back to New | Start to Finish KTM RC 200 by @MichaelRestoration,1,1.5,82,FixNation,0
JuliusPerdana,https://www.youtube.com/@JuliusPerdana,probado_ok,0.58,ya os funcionó — su catálogo es mina,170000,75984,1,2.67,8002653,Man Builds Mini RC Truck at Scale | Start to Finish by @JuliusPerdana,0,,,,0
skillspanda2.0,https://www.youtube.com/@skillspanda2.0,probado_ok,0.58,ya os funcionó — su catálogo es mina,89000,232411,1,2.59,7780457,How HUNDREDS of TRACTORS Are Manufactured Every WEEK | Macy Ferguson by @skillspanda2.0,0,,,,0
andirt4,https://www.youtube.com/@andirt4,probado_ok,0.58,ya os funcionó — su catálogo es mina,37600,19095,1,2.59,7769896,Man Builds Custom MERCEDES GULLWING Using Old Car Parts | Start to Finish by @andirt4,0,,,,0
MRWoodworking68,https://www.youtube.com/@MRWoodworking68,probado_ok,0.58,ya os funcionó — su catálogo es mina,46900,36547,1,2.54,7619210,Man Transforms Massive Tree Log into Amazing Table | by  @MRWoodworking68,1,0.2,1,Aether Labs Tech,0
RestorationTools6868,https://www.youtube.com/@RestorationTools6868,probado_ok,0.58,ya os funcionó — su catálogo es mina,145000,114822,3,2.52,7547596,Amazing Restoration Of a Truck Pulled From a River — Back on The Road | @RestorationTools6868,2,0.4,14,RV-88,0
bryanbiglin4795,https://www.youtube.com/@bryanbiglin4795,probado_ok,0.58,ya os funcionó — su catálogo es mina,60200,170665,1,2.49,7479361,Man Mowns Entire OVERGROWN Neighbourhood for FREE | Complete Transformation by @bryanbiglin4795,0,,,,0
KopauKakXo4u,https://www.youtube.com/@KopauKakXo4u,probado_ok,0.58,ya os funcionó — su catálogo es mina,23900,42459,2,2.49,7470321,Man Builds UNDERGROUND Log DUGOUT in the Forest | Start to Finish by  @KopauKakXo4u,2,6.2,31,Aether Labs Tech,0
roamingventures,https://www.youtube.com/@roamingventures,probado_ok,0.58,ya os funcionó — su catálogo es mina,18000,22623,1,2.36,7081721,Man Spends 1000 Hours Turning Military Truck Into Amazing CAMPER by @roamingventures,0,,,,0
hungchevlog,https://www.youtube.com/@hungchevlog,probado_ok,0.58,ya os funcionó — su catálogo es mina,229000,470157,1,2.32,6949316,Genius DIY Door Latch Ideas and Homemade Security Locks | @hungchevlog,0,,,,0
simplebronzecasting,https://www.youtube.com/@simplebronzecasting,probado_ok,0.58,ya os funcionó — su catálogo es mina,80400,196544,1,2.24,6735140,Man Builds Miniature RC Agriculture TRACTOR Using Only Metal | Start to Finish@simplebronzecasting,0,,,,0
sasha_lera,https://www.youtube.com/@sasha_lera,probado_ok,0.58,ya os funcionó — su catálogo es mina,200000,144102,1,2.24,6715803,Man Transforms Land into a Ranch with a Stunning Custom-Built House | by @sasha_lera,0,,,,0
matt.jacobs1,https://www.youtube.com/@matt.jacobs1,probado_ok,0.58,ya os funcionó — su catálogo es mina,201000,517391,1,2.19,6568856,Man Builds Amazing DIY Wood Cabin in the Forest Start to Finish | by @matt.jacobs1,10,3.1,700978,World Build,2
myoldgermanfarmhouse,https://www.youtube.com/@myoldgermanfarmhouse,probado_ok,0.58,ya os funcionó — su catálogo es mina,1360,3308,1,2.13,6384389,65-Year Old Man Buys Old House and Renovates It Back to New | by @myoldgermanfarmhouse,0,,,,0
ksthacks,https://www.youtube.com/@ksthacks,probado_ok,0.58,ya os funcionó — su catálogo es mina,300000,167287,1,2.07,6217242,Man Builds Homemade Volkswagen Beetle From Scratch Using PVC | by @ksthacks,0,,,,0
attagat,https://www.youtube.com/@attagat,probado_ok,0.58,ya os funcionó — su catálogo es mina,31800,66541,1,2.05,6156543,Man Turns an Old ATTIC Into an Amazing LOFT | DIY Start to Finish by @attagat,0,,,,0
Wild_Hammer,https://www.youtube.com/@Wild_Hammer,probado_ok,0.58,ya os funcionó — su catálogo es mina,118000,348167,1,2.05,6153146,Man Builds DIY TREEHOUSE 16ft HIGH in the Forest | Start to Finish by @Wild_Hammer,2,0.2,42915,Build Maker,0
JamesBiggar,https://www.youtube.com/@JamesBiggar,probado_ok,0.58,ya os funcionó — su catálogo es mina,387000,339646,3,2.03,6095277,Man Builds Amazing All-Terrain Vehicle From Scratch | by @JamesBiggar,1,2.0,59,The Building Zone,0
Connorraudseppproperty,https://www.youtube.com/@Connorraudseppproperty,probado_ok,0.58,ya os funcionó — su catálogo es mina,2500,15082,1,2.01,6039124,Man Buys Ruined Apartment and Renovates It Back To New | Start to Finish by @Connorraudseppproperty,0,,,,0
WildBeauty-OffGrid,https://www.youtube.com/@WildBeauty-OffGrid,probado_ok,0.58,ya os funcionó — su catálogo es mina,847000,1304960,1,2.0,5989958,Young Woman Builds BAMBOO CABIN in Just 20 DAYS | Start to Finish by @WildBeauty-OffGrid,1,0.9,7,Change of house,0
AtlasSurvivalShelters,https://www.youtube.com/@AtlasSurvivalShelters,sin_explorar,0.5767,sin explorar — predicción del modelo,703000,188280,0,0,0,,2,431.0,6334363,Not Fake: fyp,0
ErikGrankvist,https://www.youtube.com/@ErikGrankvist,sin_explorar,0.5729,sin explorar — predicción del modelo,1670000,3556122,0,0,0,,7,2.2,22441,Quantum Build Studio,0
JJfishing19marine,https://www.youtube.com/@JJfishing19marine,sin_explorar,0.5712,sin explorar — predicción del modelo,157000,1086177,0,0,0,,3,34.8,1049493,Lord Gizmo,0
botanik6140,https://www.youtube.com/@botanik6140,sin_explorar,0.57,sin explorar — predicción del modelo,691000,695879,0,0,0,,5,8.1,5122774,TK Maker,2
SurvivalBuilder,https://www.youtube.com/@SurvivalBuilder,sin_explorar,0.5662,sin explorar — predicción del modelo,11900000,8937222,0,0,0,,1,3.3,1072,The Makers HD,0
AndrewCamarata,https://www.youtube.com/@AndrewCamarata,sin_explorar,0.5469,sin explorar — predicción del modelo,1520000,1129538,0,0,0,,1,2.1,491632,BRAIN TIME VT,0
perfectidea,https://www.youtube.com/@perfectidea,sin_explorar,0.5465,sin explorar — predicción del modelo,215000,2922396,0,0,0,,4,15.1,68898,Built Marvels,0
MartijnDoolaard,https://www.youtube.com/@MartijnDoolaard,sin_explorar,0.5456,sin explorar — predicción del modelo,837000,596998,0,0,0,,1,3.8,883527,BRAIN TIME VT,0
nhettvchannel,https://www.youtube.com/@nhettvchannel,sin_explorar,0.5448,sin explorar — predicción del modelo,2530000,1395441,0,0,0,,1,3.2,11645,Namtum Makers,0
MySelfReliance,https://www.youtube.com/@MySelfReliance,sin_explorar,0.5443,sin explorar — predicción del modelo,2210000,715355,0,0,0,,5,13.8,34548,WoodCraft Empire,1
NickandMaëla,https://www.youtube.com/@NickandMaëla,sin_explorar,0.5442,sin explorar — predicción del modelo,155000,362998,0,0,0,,13,70.7,1245326,Rustic Roots Build,3
Holy_Maker,https://www.youtube.com/@Holy_Maker,sin_explorar,0.5438,sin explorar — predicción del modelo,300000,693525,0,0,0,,2,24.4,276417,Wood & Steel Craft,0
buildingskill9353,https://www.youtube.com/@buildingskill9353,sin_explorar,0.5401,sin explorar — predicción del modelo,1750000,3149121,0,0,0,,1,2.7,5397,Clean & Restore Tech,0
ZiskindVillage,https://www.youtube.com/@ZiskindVillage,sin_explorar,0.5368,sin explorar — predicción del modelo,324000,249633,0,0,0,,1,91.4,609117,Smart Fox,0
forestexpanses,https://www.youtube.com/@forestexpanses,sin_explorar,0.5352,sin explorar — predicción del modelo,94500,397028,0,0,0,,2,19.9,12683214,TK Maker,0
NickandMaela,https://www.youtube.com/@NickandMaela,sin_explorar,0.5351,sin explorar — predicción del modelo,155000,362998,0,0,0,,3,17.3,1680975,MrS,1
homemade_madness,https://www.youtube.com/@homemade_madness,sin_explorar,0.5329,sin explorar — predicción del modelo,251000,392222,0,0,0,,4,9.7,492590,Life Rhythm TV,2
northtoalaska2022,https://www.youtube.com/@northtoalaska2022,sin_explorar,0.5293,sin explorar — predicción del modelo,225000,247261,0,0,0,,1,14.6,1421843,MrS,0
restorationt2,https://www.youtube.com/@restorationt2,sin_explorar,0.529,sin explorar — predicción del modelo,396000,1680561,0,0,0,,3,9.1,33350,Namtum Makers,0
wildhomestead,https://www.youtube.com/@wildhomestead,sin_explorar,0.5269,sin explorar — predicción del modelo,535000,455115,0,0,0,,2,3.8,339345,Maker World,1
mypersonaljournal,https://www.youtube.com/@mypersonaljournal,sin_explorar,0.5255,sin explorar — predicción del modelo,150000,420925,0,0,0,,7,9.8,868186,Maker World,1
Bourbonmoth,https://www.youtube.com/@Bourbonmoth,sin_explorar,0.525,sin explorar — predicción del modelo,1250000,509673,0,0,0,,1,2.1,2181648,TechFreeze,0
ShevaBushcraft,https://www.youtube.com/@ShevaBushcraft,sin_explorar,0.5246,sin explorar — predicción del modelo,422000,1674371,0,0,0,,2,5.8,25318,Crafted Horizon,0
TheOutsiderCabin,https://www.youtube.com/@TheOutsiderCabin,sin_explorar,0.521,sin explorar — predicción del modelo,1210000,854953,0,0,0,,6,3.5,16103,Pro Build Master,0
MrWildNature,https://www.youtube.com/@MrWildNature,sin_explorar,0.5209,sin explorar — predicción del modelo,524000,395722,0,0,0,,1,3.2,3295466,TechFreeze,0
karakum_outdoors,https://www.youtube.com/@karakum_outdoors,sin_explorar,0.5182,sin explorar — predicción del modelo,262000,344778,0,0,0,,2,5.1,3235140,TK Maker,0
JulienMalara,https://www.youtube.com/@JulienMalara,sin_explorar,0.5151,sin explorar — predicción del modelo,267000,48043,0,0,0,,9,135.8,4095126,Lord Gizmo,3
Restoration,https://www.youtube.com/@Restoration,sin_explorar,0.5149,sin explorar — predicción del modelo,1640000,2561371,0,0,0,,1,29.3,2873,Renovation Rescue HD,0
ateliermavi,https://www.youtube.com/@ateliermavi,sin_explorar,0.5139,sin explorar — predicción del modelo,117000,178622,0,0,0,,3,23.2,1179221,Life Rhythm TV,1
WildBushDrive,https://www.youtube.com/@WildBushDrive,sin_explorar,0.5131,sin explorar — predicción del modelo,47500,284827,0,0,0,,1,24.1,15313144,TK Maker,0
naturalloghouse,https://www.youtube.com/@naturalloghouse,sin_explorar,0.5114,sin explorar — predicción del modelo,78100,471813,0,0,0,,10,8.6,1945390,World Build,1
WildernessSurvivalMan,https://www.youtube.com/@WildernessSurvivalMan,sin_explorar,0.5095,sin explorar — predicción del modelo,239000,318753,0,0,0,,4,4.6,2922624,TK Maker,0
Hampus_Granstrom,https://www.youtube.com/@Hampus_Granstrom,sin_explorar,0.5082,sin explorar — predicción del modelo,231000,3325154,0,0,0,,2,18.8,8791,Maexology,0
lifeanywhere,https://www.youtube.com/@lifeanywhere,sin_explorar,0.506,sin explorar — predicción del modelo,46800,117347,0,0,0,,24,3678.1,8507547,Techno Fusion HD,7
DawidOutdoorAdventures,https://www.youtube.com/@DawidOutdoorAdventures,sin_explorar,0.5039,sin explorar — predicción del modelo,92900,1675617,0,0,0,,2,33.3,43741,SwiftBuild,1
ThanhSuperBoat,https://www.youtube.com/@ThanhSuperBoat,sin_explorar,0.5014,sin explorar — predicción del modelo,94600,731082,0,0,0,,11,23.4,113903,22TechZoom,1
Weandnature,https://www.youtube.com/@Weandnature,sin_explorar,0.5006,sin explorar — predicción del modelo,246000,110536,0,0,0,,5,14.3,429894,Lord Gizmo,1
The-Quinta,https://www.youtube.com/@The-Quinta,sin_explorar,0.4973,sin explorar — predicción del modelo,73200,92618,0,0,0,,1,1018.5,1765575,COLLAB,0
HandyGeng,https://www.youtube.com/@HandyGeng,sin_explorar,0.4917,sin explorar — predicción del modelo,404000,337564,0,0,0,,1,21.1,42304,Clean & Restore Tech,0
MattBangsWood,https://www.youtube.com/@MattBangsWood,sin_explorar,0.4904,sin explorar — predicción del modelo,483000,209779,0,0,0,,2,2.9,159627,CabinCraft,0
chateaudepurnon,https://www.youtube.com/@chateaudepurnon,sin_explorar,0.4882,sin explorar — predicción del modelo,495000,131172,0,0,0,,1,3.3,774645,BRAIN TIME VT,0
KrisHarbour,https://www.youtube.com/@KrisHarbour,sin_explorar,0.4874,sin explorar — predicción del modelo,618000,236545,0,0,0,,1,2.1,500876,BRAIN TIME VT,0
SashaJuliardD,https://www.youtube.com/@SashaJuliardD,sin_explorar,0.4856,sin explorar — predicción del modelo,39500,777473,0,0,0,,1,9.4,122658,TTI Build Stories ,0
norusarubushcraft,https://www.youtube.com/@norusarubushcraft,sin_explorar,0.4855,sin explorar — predicción del modelo,470000,1581042,0,0,0,,9,8.9,4168,Maexology,0
ThanhĐiềnNTĐ,https://www.youtube.com/@ThanhĐiềnNTĐ,sin_explorar,0.484,sin explorar — predicción del modelo,242000,78461,0,0,0,,4,7.3,1716775,BRAIN TIME VT,2
ArtSportArtSport,https://www.youtube.com/@ArtSportArtSport,sin_explorar,0.4837,sin explorar — predicción del modelo,212000,295430,0,0,0,,9,6.7,68075,Quantum Build Studio,1
Wolfpupfab,https://www.youtube.com/@Wolfpupfab,sin_explorar,0.4825,sin explorar — predicción del modelo,58300,93357,0,0,0,,10,24.1,1430788,MAKERS HD,6
LRN2DIY,https://www.youtube.com/@LRN2DIY,sin_explorar,0.4808,sin explorar — predicción del modelo,1280000,685680,0,0,0,,1,1.1,7491,Smart Fox,0
andersboisentinyhouse,https://www.youtube.com/@andersboisentinyhouse,sin_explorar,0.4804,sin explorar — predicción del modelo,143000,59701,0,0,0,,4,91.7,611341,Smart Fox,0
InWildForest,https://www.youtube.com/@InWildForest,sin_explorar,0.4785136433483731,sin explorar — sin canal resuelto,,,0,0,0,,1,39.8,585033,Not Fake: fyp,0
AustinCoulson,https://www.youtube.com/@AustinCoulson,sin_explorar,0.4777,sin explorar — predicción del modelo,152000,112555,0,0,0,,1,6.5,432224,Gear Tech HD,0
SBRRCTRUCK,https://www.youtube.com/@SBRRCTRUCK,sin_explorar,0.4776,sin explorar — predicción del modelo,401000,588130,0,0,0,,1,2.8,10240,Namtum Makers,0
primitivevilla1930,https://www.youtube.com/@primitivevilla1930,sin_explorar,0.4765,sin explorar — predicción del modelo,237000,895662,0,0,0,,2,2.3,9891,Professional Skills,0
frengen_engineering,https://www.youtube.com/@frengen_engineering,sin_explorar,0.4759,sin explorar — predicción del modelo,87600,180129,0,0,0,,7,4.9,5112367,TechFreeze,2
pakistanitruck,https://www.youtube.com/@pakistanitruck,sin_explorar,0.4752,sin explorar — predicción del modelo,656000,412577,0,0,0,,1,1.3,1367111,TechFreeze,0
SurvivalBuild,https://www.youtube.com/@SurvivalBuild,sin_explorar,0.4743,sin explorar — predicción del modelo,560000,1428988,0,0,0,,1,2.1,2771,SwiftBuild,0
Montana,https://www.youtube.com/@Montana,sin_explorar,0.473477329052354,sin explorar — sin canal resuelto,,,0,0,0,,1,1145.5,393489,Lynsey Windon,0
BuildStudioHQ,https://www.youtube.com/@BuildStudioHQ,sin_explorar,0.4734,sin explorar — predicción del modelo,324000,188907,0,0,0,,1,15.3,47616,Quantum Builders,0
TheCrockers,https://www.youtube.com/@TheCrockers,sin_explorar,0.4709,sin explorar — predicción del modelo,462000,68602,0,0,0,,1,3.8,209215,CabinCraft,0
serkanbilginbushcraft,https://www.youtube.com/@serkanbilginbushcraft,sin_explorar,0.4684,sin explorar — predicción del modelo,139000,134768,0,0,0,,1,3.8,2429667,TK Maker,0
domegaia,https://www.youtube.com/@domegaia,sin_explorar,0.4679,sin explorar — predicción del modelo,63500,74303,0,0,0,,4,45.4,591891,TTI Build Stories ,0
bastianbuilders,https://www.youtube.com/@bastianbuilders,sin_explorar,0.4654,sin explorar — predicción del modelo,45000,235798,0,0,0,,2,5.3,315536,MAKERS HD,0
ProcessK,https://www.youtube.com/@ProcessK,sin_explorar,0.4646,sin explorar — predicción del modelo,461000,813797,0,0,0,,2,137.3,3981,The Maker World,0
ChayDenne,https://www.youtube.com/@ChayDenne,sin_explorar,0.4625,sin explorar — predicción del modelo,2410000,2760362,0,0,0,,1,2.7,174,Build Secrets,0
Restoratorman,https://www.youtube.com/@Restoratorman,sin_explorar,0.4621,sin explorar — predicción del modelo,41200,300724,0,0,0,,1,3.5,3680489,TechFreeze,0
Le_Dan,https://www.youtube.com/@Le_Dan,sin_explorar,0.4609,sin explorar — predicción del modelo,577000,1769190,0,0,0,,1,1.7,1281,DIY UNIQUE CREATIONS,0
MakeitExtreme,https://www.youtube.com/@MakeitExtreme,sin_explorar,0.4599,sin explorar — predicción del modelo,1970000,1728052,0,0,0,,1,0.7,378,Vietnamese farmers 88,0
Xiaoqianfeng,https://www.youtube.com/@Xiaoqianfeng,sin_explorar,0.4592,sin explorar — predicción del modelo,535000,749064,0,0,0,,1,1.6,3151,Clean & Restore Tech,0
DomashMaster,https://www.youtube.com/@DomashMaster,sin_explorar,0.459,sin explorar — predicción del modelo,1020000,531626,0,0,0,,1,8.1,2600,The Makers HD,0
SalvagetoScenic,https://www.youtube.com/@SalvagetoScenic,sin_explorar,0.4568,sin explorar — predicción del modelo,322000,649823,0,0,0,,1,1.3,4856,Namtum Makers,0
juanxiaoliu,https://www.youtube.com/@juanxiaoliu,sin_explorar,0.4564,sin explorar — predicción del modelo,206000,83672,0,0,0,,9,9.8,99197,Quantum Build Studio,1
Tornado_Dave,https://www.youtube.com/@Tornado_Dave,sin_explorar,0.4553,sin explorar — predicción del modelo,306000,215863,0,0,0,,5,1.9,24739,TTI Build Stories ,0
WildlifeHomesteadCabin,https://www.youtube.com/@WildlifeHomesteadCabin,sin_explorar,0.45386528815768756,sin explorar — sin canal resuelto,,,0,0,0,,1,3.2,308001,MrS,0
WorkshopFromScratch,https://www.youtube.com/@WorkshopFromScratch,sin_explorar,0.4537,sin explorar — predicción del modelo,881000,2531473,0,0,0,,1,0.8,391,Vietnamese farmers 88,0
Mechanical-Hands,https://www.youtube.com/@Mechanical-Hands,sin_explorar,0.451,sin explorar — predicción del modelo,77900,362986,0,0,0,,1,13.6,31369,Techno Fusion HD,0
ThisOffGridLife,https://www.youtube.com/@ThisOffGridLife,sin_explorar,0.4503,sin explorar — predicción del modelo,191000,137786,0,0,0,,2,2.3,206181,Maker World,0
WildRoot.Bushcraftz,https://www.youtube.com/@WildRoot.Bushcraftz,sin_explorar,0.44683666480550566,sin explorar — sin canal resuelto,,,0,0,0,,1,3.1,35482,Wood & Steel Craft,0
andrewryanpov,https://www.youtube.com/@andrewryanpov,sin_explorar,0.4468,sin explorar — predicción del modelo,51200,45634,0,0,0,,10,38.4,518445,99Techspot,3
BushcraftLeo,https://www.youtube.com/@BushcraftLeo,sin_explorar,0.4458,sin explorar — predicción del modelo,32100,151452,0,0,0,,3,4.5,3702673,AKLA GELEN,0
Ivan-Rogal,https://www.youtube.com/@Ivan-Rogal,sin_explorar,0.4456,sin explorar — predicción del modelo,59300,423880,0,0,0,,2,6.2,26738,Crafted Horizon,0
LesBricoloveurs,https://www.youtube.com/@LesBricoloveurs,sin_explorar,0.4452,sin explorar — predicción del modelo,32100,78446,0,0,0,,5,31.4,409460,TTI Build Stories ,2
AlexanderBushcraft776,https://www.youtube.com/@AlexanderBushcraft776,sin_explorar,0.4444,sin explorar — predicción del modelo,42700,121494,0,0,0,,2,4.8,1145063,Epic Timeline,0
DrewBuildsStuff,https://www.youtube.com/@DrewBuildsStuff,sin_explorar,0.4417,sin explorar — predicción del modelo,1950000,3143387,0,0,0,,1,4.3,66,The Builder's Stage,0
klerobi1,https://www.youtube.com/@klerobi1,sin_explorar,0.4413,sin explorar — predicción del modelo,119000,198456,0,0,0,,4,1.9,1848504,Makerium,0
LostinMountainsCarpathians,https://www.youtube.com/@LostinMountainsCarpathians,sin_explorar,0.4411,sin explorar — predicción del modelo,51000,484047,0,0,0,,1,1.8,421722,Epic Timeline,0
ivan_bushcraft,https://www.youtube.com/@ivan_bushcraft,sin_explorar,0.4407,sin explorar — predicción del modelo,67400,1048869,0,0,0,,3,4.3,5632,SwiftBuild,0
RescueStory,https://www.youtube.com/@RescueStory,sin_explorar,0.4407,sin explorar — predicción del modelo,650000,2507237,0,0,0,,2,0.6,1271,Techno Fusion HD,0
THENORTHCABIN,https://www.youtube.com/@THENORTHCABIN,sin_explorar,0.4396,sin explorar — predicción del modelo,49400,278492,0,0,0,,1,3.5,40197,Crafted Foundations,0
Lesnoy_Craft,https://www.youtube.com/@Lesnoy_Craft,sin_explorar,0.4376538858987203,sin explorar — sin canal resuelto,,,0,0,0,,2,1.8,23492,TTI Build Stories ,0
VillaAroldi,https://www.youtube.com/@VillaAroldi,sin_explorar,0.4376,sin explorar — predicción del modelo,31200,23979,0,0,0,,7,202.9,1352344,Smart Fox,3
Trieuthiduong,https://www.youtube.com/@Trieuthiduong,sin_explorar,0.4369,sin explorar — predicción del modelo,98300,151810,0,0,0,,1,2.3,240645,Innovative Tech World,0
Woodsimprovisation,https://www.youtube.com/@Woodsimprovisation,sin_explorar,0.4368,sin explorar — predicción del modelo,11700,151995,0,0,0,,2,193.2,334965,COLLAB,1
channel520,https://www.youtube.com/@channel520,sin_explorar,0.4358,sin explorar — predicción del modelo,98300,35311,0,0,0,,3,6.0,633624,Innovative Tech World,0
GrumpyToadCreations,https://www.youtube.com/@GrumpyToadCreations,sin_explorar,0.4349,sin explorar — predicción del modelo,12000,77943,0,0,0,,15,14.1,3187034,World Build,10
KYLESCABIN,https://www.youtube.com/@KYLESCABIN,sin_explorar,0.4347,sin explorar — predicción del modelo,326000,162584,0,0,0,,4,1.4,79481,CabinCraft,0
7asean,https://www.youtube.com/@7asean,sin_explorar,0.4340853454645324,sin explorar — sin canal resuelto,,,0,0,0,,1,17.0,10414,HITECH,0
thompsonscabin,https://www.youtube.com/@thompsonscabin,sin_explorar,0.4339,sin explorar — predicción del modelo,64000,23397,0,0,0,,1,12.5,1106705,Maker World,0
PhươngOutdoor,https://www.youtube.com/@PhươngOutdoor,sin_explorar,0.4303,sin explorar — predicción del modelo,167000,217089,0,0,0,,1,14.8,9754,Calm Fix Studio,0
LandtoHouse,https://www.youtube.com/@LandtoHouse,sin_explorar,0.4296,sin explorar — predicción del modelo,260000,40005,0,0,0,,1,7.8,52031,Smart Fox,0
Nasatchanne,https://www.youtube.com/@Nasatchanne,sin_explorar,0.42743229834507984,sin explorar — sin canal resuelto,,,0,0,0,,1,2.5,5768,Techno Fusion HD,0
FinnishPlayground,https://www.youtube.com/@FinnishPlayground,sin_explorar,0.4274,sin explorar — predicción del modelo,49600,137412,0,0,0,,3,2.6,622700,Betelhem Tech,2
Benjamin-roct,https://www.youtube.com/@Benjamin-roct,sin_explorar,0.4272,sin explorar — predicción del modelo,100000,99724,0,0,0,,1,2.2,527082,BRAIN TIME VT,0
woodwood1,https://www.youtube.com/@woodwood1,sin_explorar,0.4262,sin explorar — predicción del modelo,113000,151735,0,0,0,,1,1.7,392262,World Build,0
ProjectswithChristineJesse,https://www.youtube.com/@ProjectswithChristineJesse,sin_explorar,0.4243,sin explorar — predicción del modelo,15000,34237,0,0,0,,16,190.9,927329,22TechZoom,1
doracamperstudio,https://www.youtube.com/@doracamperstudio,sin_explorar,0.4241,sin explorar — predicción del modelo,11500,59263,0,0,0,,1,44.6,581765,TTI Build Stories ,0
DailyBergstrom,https://www.youtube.com/@DailyBergstrom,sin_explorar,0.4237301926003851,sin explorar — sin canal resuelto,,,0,0,0,,1,2.5,4697,Construcciones Salvajes,0
LifeontheMoose,https://www.youtube.com/@LifeontheMoose,sin_explorar,0.4237,sin explorar — predicción del modelo,58400,26257,0,0,0,,12,185.2,321081,COLLAB,4
belaruscustoms,https://www.youtube.com/@belaruscustoms,sin_explorar,0.4236,sin explorar — predicción del modelo,57800,526860,0,0,0,,2,1.2,1253944,TechFreeze,0
AntonioOff-Grid,https://www.youtube.com/@AntonioOff-Grid,sin_explorar,0.4234,sin explorar — predicción del modelo,352000,555553,0,0,0,,2,0.8,195221,Epic Timeline,0
Library,https://www.youtube.com/@Library,sin_explorar,0.4212668433752546,sin explorar — sin canal resuelto,,,0,0,0,,2,1.2,5663,22TechZoom,0
lesnoy_badger1544,https://www.youtube.com/@lesnoy_badger1544,sin_explorar,0.4207,sin explorar — predicción del modelo,51200,172291,0,0,0,,4,2.1,204203,MrS,0
TheEnesYilmazerPodcast,https://www.youtube.com/@TheEnesYilmazerPodcast,sin_explorar,0.4196,sin explorar — predicción del modelo,829000,583576,0,0,0,,1,0.6,8298,TTI Build Stories ,0
araujocaiaque,https://www.youtube.com/@araujocaiaque,sin_explorar,0.4186,sin explorar — predicción del modelo,52700,13637,0,0,0,,5,11.2,11607684,TechFreeze,1
BMSculptures,https://www.youtube.com/@BMSculptures,sin_explorar,0.4185,sin explorar — predicción del modelo,981000,1381117,0,0,0,,1,0.4,842,Clean & Restore Tech,0
BuildingInNature,https://www.youtube.com/@BuildingInNature,sin_explorar,0.4184,sin explorar — predicción del modelo,15300,61736,0,0,0,,11,7.9,1453744,Build Maker,1
Kings_Wharf_Restoration,https://www.youtube.com/@Kings_Wharf_Restoration,sin_explorar,0.4184,sin explorar — predicción del modelo,18100,289555,0,0,0,,1,2.4,119710,Life Rhythm TV,0
divanstroy,https://www.youtube.com/@divanstroy,sin_explorar,0.4174,sin explorar — predicción del modelo,655000,850200,0,0,0,,2,1.2,379,The Makers HD,0
MADDETAILING,https://www.youtube.com/@MADDETAILING,sin_explorar,0.4168,sin explorar — predicción del modelo,547000,780024,0,0,0,,1,0.7,1324,Clean & Restore Tech,0
MorizinForest,https://www.youtube.com/@MorizinForest,sin_explorar,0.4164,sin explorar — predicción del modelo,105000,32626,0,0,0,,2,30.6,95321,Quantum Builders,0
MadeinPolandChannel,https://www.youtube.com/@MadeinPolandChannel,sin_explorar,0.4162,sin explorar — predicción del modelo,1330000,2572761,0,0,0,,1,0.2,735,Namtum Makers,0
OurRestorationNation,https://www.youtube.com/@OurRestorationNation,sin_explorar,0.4152,sin explorar — predicción del modelo,162000,53949,0,0,0,,1,4.4,29204,Smart Fox,0
DoBeDiff,https://www.youtube.com/@DoBeDiff,sin_explorar,0.4151,sin explorar — predicción del modelo,59000,19747,0,0,0,,5,7.7,751556,MrS,3
LibraryofConstruction,https://www.youtube.com/@LibraryofConstruction,sin_explorar,0.4149,sin explorar — predicción del modelo,17100,109531,0,0,0,,4,3.4,3366100,Makerium,0
trwilderness-bahadirkilic,https://www.youtube.com/@trwilderness-bahadirkilic,sin_explorar,0.4146,sin explorar — predicción del modelo,113000,190875,0,0,0,,1,1.5,14283,Cabin Maker,0
CyprienAdventures,https://www.youtube.com/@CyprienAdventures,sin_explorar,0.4142,sin explorar — predicción del modelo,2930000,3880618,0,0,0,,1,0.1,119,Clean & Restore Tech,0
johnwolson,https://www.youtube.com/@johnwolson,sin_explorar,0.4138,sin explorar — predicción del modelo,10600,644123,0,0,0,,1,6.3,19518,Quantum Builders,0
